"In the Middle East situation, are your sympathies more with the Israelis or more with the Palestinians?",% Israelis,% Palestinians
2025,46,33
2024,51,27
2023,54,31
2022,55,26
2021,58,25
2020,60,23
2019,59,21
2018,64,19
2017,62,19
2016,62,15
2015,62,16
2014,62,18
2013,64,12
2012,61,19
2011,63,17
2010,63,15
2009,59,18
2008,59,17
2007,58,20
2006,59,15
2005,52,18
2004,55,18
2003,58,13
2002,55,14
2001,51,16
