"In the Middle East situation, are your sympathies more with the Israelis or more with the Palestinians?",% Israelis,% Palestinians
2001,51%,16%
2002,50%,17%
2003,48%,16%
2004,46%,23%
2005,41%,27%
2006,50%,19%
2007,51%,24%
2008,48%,23%
2009,54%,24%
2010,48%,25%
2011,57%,24%
2012,53%,25%
2013,55%,19%
2014,58%,23%
2015,48%,27%
2016,53%,23%
2017,47%,29%
2018,49%,31%
2019,43%,30%
2020,44%,38%
2021,43%,38%
2022,40%,38%
2023,38%,49%
2024,35%,43%
2025,21%,59%
